ano,idade,motivo_situacao,sexo,qte_acidentes,situacao
1997-01-01,50 a 54 Anos,Típico-Com Cat,Feminino,1035.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Típico-Com Cat,Ignorado,8144.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Típico-Com Cat,Masculino,2827.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Típico-Com Cat,Feminino,437.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Típico-Com Cat,Ignorado,4225.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Típico-Com Cat,Masculino,1076.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Típico-Com Cat,Feminino,77.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Típico-Com Cat,Ignorado,1954.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Típico-Com Cat,Masculino,155.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Típico-Com Cat,Feminino,13.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Típico-Com Cat,Ignorado,684.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Típico-Com Cat,Masculino,25.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Típico-Com Cat,Feminino,1.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Típico-Com Cat,Ignorado,251.0,Com Cat Registrada
1997-01-01,Ignorada,Típico-Com Cat,Masculino,4252.0,Com Cat Registrada
1997-01-01,Ignorada,Típico-Com Cat,Feminino,761.0,Com Cat Registrada
1997-01-01,Ignorada,Típico-Com Cat,Ignorado,11761.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Trajeto-Com Cat,Masculino,1062.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Trajeto-Com Cat,Feminino,226.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Trajeto-Com Cat,Ignorado,1332.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Masculino,111.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Feminino,356.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Ignorado,321.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Trajeto-Com Cat,Masculino,2418.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Trajeto-Com Cat,Feminino,610.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Trajeto-Com Cat,Ignorado,3386.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Masculino,553.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Feminino,1510.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Ignorado,1245.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Trajeto-Com Cat,Masculino,2393.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Trajeto-Com Cat,Feminino,679.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Trajeto-Com Cat,Ignorado,3185.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Masculino,890.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Feminino,2017.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Ignorado,1825.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Trajeto-Com Cat,Masculino,2152.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Trajeto-Com Cat,Feminino,711.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Trajeto-Com Cat,Ignorado,2807.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Masculino,1064.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Feminino,2112.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Ignorado,2582.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Trajeto-Com Cat,Masculino,1717.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Trajeto-Com Cat,Feminino,688.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Trajeto-Com Cat,Ignorado,2208.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Masculino,1121.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Feminino,2178.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Ignorado,3231.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Trajeto-Com Cat,Masculino,1383.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Trajeto-Com Cat,Feminino,622.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Trajeto-Com Cat,Ignorado,1873.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Masculino,978.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Feminino,1628.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Ignorado,3493.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Trajeto-Com Cat,Masculino,879.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Trajeto-Com Cat,Feminino,473.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Trajeto-Com Cat,Ignorado,1320.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Masculino,579.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Feminino,878.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Ignorado,2622.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Trajeto-Com Cat,Masculino,535.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Trajeto-Com Cat,Feminino,319.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Trajeto-Com Cat,Ignorado,735.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Masculino,250.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Feminino,298.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Ignorado,1353.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Trajeto-Com Cat,Masculino,325.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Trajeto-Com Cat,Feminino,168.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Trajeto-Com Cat,Ignorado,433.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Masculino,108.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Feminino,127.0,Com Cat Registrada
1997-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Ignorado,648.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Trajeto-Com Cat,Masculino,160.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Trajeto-Com Cat,Feminino,41.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Trajeto-Com Cat,Ignorado,201.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Masculino,52.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Feminino,7.0,Com Cat Registrada
1997-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Ignorado,282.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Trajeto-Com Cat,Masculino,20.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Trajeto-Com Cat,Feminino,6.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Trajeto-Com Cat,Ignorado,76.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Masculino,12.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Feminino,2.0,Com Cat Registrada
1997-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Ignorado,111.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Trajeto-Com Cat,Masculino,4.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Trajeto-Com Cat,Feminino,2.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Trajeto-Com Cat,Ignorado,30.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Masculino,0.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Feminino,1.0,Com Cat Registrada
1997-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Ignorado,32.0,Com Cat Registrada
1997-01-01,Ignorada,Trajeto-Com Cat,Masculino,628.0,Com Cat Registrada
1997-01-01,Ignorada,Trajeto-Com Cat,Feminino,293.0,Com Cat Registrada
1997-01-01,Ignorada,Trajeto-Com Cat,Ignorado,1113.0,Com Cat Registrada
1997-01-01,Ignorada,Doença do Trabalho-Com Cat,Masculino,350.0,Com Cat Registrada
1997-01-01,Ignorada,Doença do Trabalho-Com Cat,Feminino,734.0,Com Cat Registrada
1997-01-01,Ignorada,Doença do Trabalho-Com Cat,Ignorado,987.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Típico-Com Cat,Masculino,19839.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Típico-Com Cat,Feminino,2927.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Típico-Com Cat,Ignorado,3073.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Trajeto-Com Cat,Masculino,1802.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Trajeto-Com Cat,Feminino,443.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Trajeto-Com Cat,Ignorado,201.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Masculino,254.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Feminino,443.0,Com Cat Registrada
1998-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Ignorado,33.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Típico-Com Cat,Masculino,50272.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Típico-Com Cat,Feminino,6943.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Típico-Com Cat,Ignorado,7666.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Trajeto-Com Cat,Masculino,4528.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Trajeto-Com Cat,Feminino,1431.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Trajeto-Com Cat,Ignorado,518.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Masculino,1008.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Feminino,1812.0,Com Cat Registrada
1998-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Ignorado,165.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Típico-Com Cat,Masculino,45972.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Típico-Com Cat,Feminino,7579.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Típico-Com Cat,Ignorado,6926.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Trajeto-Com Cat,Masculino,4364.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Trajeto-Com Cat,Feminino,1476.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Trajeto-Com Cat,Ignorado,480.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Masculino,1599.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Feminino,2362.0,Com Cat Registrada
1998-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Ignorado,215.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Típico-Com Cat,Masculino,40081.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Típico-Com Cat,Feminino,7774.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Típico-Com Cat,Ignorado,5901.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Trajeto-Com Cat,Masculino,3808.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Trajeto-Com Cat,Feminino,1484.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Trajeto-Com Cat,Ignorado,404.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Masculino,2239.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Feminino,2438.0,Com Cat Registrada
1998-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Ignorado,250.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Típico-Com Cat,Masculino,32904.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Típico-Com Cat,Feminino,7510.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Típico-Com Cat,Ignorado,4593.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Trajeto-Com Cat,Masculino,2925.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Trajeto-Com Cat,Feminino,1462.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Trajeto-Com Cat,Ignorado,350.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Masculino,2630.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Feminino,2506.0,Com Cat Registrada
1998-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Ignorado,297.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Típico-Com Cat,Masculino,25941.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Típico-Com Cat,Feminino,6165.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Típico-Com Cat,Ignorado,3538.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Trajeto-Com Cat,Masculino,2216.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Trajeto-Com Cat,Feminino,1297.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Trajeto-Com Cat,Ignorado,273.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Masculino,2814.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Feminino,2000.0,Com Cat Registrada
1998-01-01,40 a 44 Anos,Doença do Trabalho-Com Cat,Ignorado,327.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Típico-Com Cat,Masculino,17428.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Típico-Com Cat,Feminino,4207.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Típico-Com Cat,Ignorado,2416.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Trajeto-Com Cat,Masculino,1481.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Trajeto-Com Cat,Feminino,879.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Trajeto-Com Cat,Ignorado,169.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Masculino,2048.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Feminino,1099.0,Com Cat Registrada
1998-01-01,45 a 49 Anos,Doença do Trabalho-Com Cat,Ignorado,239.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Típico-Com Cat,Masculino,10286.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Típico-Com Cat,Feminino,2491.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Típico-Com Cat,Ignorado,1326.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Trajeto-Com Cat,Masculino,847.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Trajeto-Com Cat,Feminino,591.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Trajeto-Com Cat,Ignorado,99.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Masculino,1056.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Feminino,436.0,Com Cat Registrada
1998-01-01,50 a 54 Anos,Doença do Trabalho-Com Cat,Ignorado,144.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Típico-Com Cat,Masculino,5783.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Típico-Com Cat,Feminino,1153.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Típico-Com Cat,Ignorado,700.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Trajeto-Com Cat,Masculino,510.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Trajeto-Com Cat,Feminino,343.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Trajeto-Com Cat,Ignorado,57.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Masculino,524.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Feminino,126.0,Com Cat Registrada
1998-01-01,55 a 59 Anos,Doença do Trabalho-Com Cat,Ignorado,70.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Típico-Com Cat,Masculino,2326.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Típico-Com Cat,Feminino,293.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Típico-Com Cat,Ignorado,282.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Trajeto-Com Cat,Masculino,268.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Trajeto-Com Cat,Feminino,86.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Trajeto-Com Cat,Ignorado,35.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Masculino,187.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Feminino,22.0,Com Cat Registrada
1998-01-01,60 a 64 Anos,Doença do Trabalho-Com Cat,Ignorado,29.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Típico-Com Cat,Masculino,631.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Típico-Com Cat,Feminino,60.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Típico-Com Cat,Ignorado,93.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Trajeto-Com Cat,Masculino,54.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Trajeto-Com Cat,Feminino,33.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Trajeto-Com Cat,Ignorado,8.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Masculino,53.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Feminino,3.0,Com Cat Registrada
1998-01-01,65 a 69 Anos,Doença do Trabalho-Com Cat,Ignorado,8.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Típico-Com Cat,Masculino,203.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Típico-Com Cat,Feminino,23.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Típico-Com Cat,Ignorado,46.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Trajeto-Com Cat,Masculino,14.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Trajeto-Com Cat,Feminino,9.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Trajeto-Com Cat,Ignorado,4.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Masculino,7.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Feminino,0.0,Com Cat Registrada
1998-01-01,70 Anos ou mais,Doença do Trabalho-Com Cat,Ignorado,4.0,Com Cat Registrada
1998-01-01,Ignorada,Típico-Com Cat,Masculino,8386.0,Com Cat Registrada
1998-01-01,Ignorada,Típico-Com Cat,Feminino,1488.0,Com Cat Registrada
1998-01-01,Ignorada,Típico-Com Cat,Ignorado,2513.0,Com Cat Registrada
1998-01-01,Ignorada,Trajeto-Com Cat,Masculino,668.0,Com Cat Registrada
1998-01-01,Ignorada,Trajeto-Com Cat,Feminino,317.0,Com Cat Registrada
1998-01-01,Ignorada,Trajeto-Com Cat,Ignorado,180.0,Com Cat Registrada
1998-01-01,Ignorada,Doença do Trabalho-Com Cat,Masculino,443.0,Com Cat Registrada
1998-01-01,Ignorada,Doença do Trabalho-Com Cat,Feminino,431.0,Com Cat Registrada
1998-01-01,Ignorada,Doença do Trabalho-Com Cat,Ignorado,168.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Típico-Com Cat,Masculino,14988.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Típico-Com Cat,Feminino,2577.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Típico-Com Cat,Ignorado,62.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Trajeto-Com Cat,Masculino,1505.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Trajeto-Com Cat,Feminino,438.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Trajeto-Com Cat,Ignorado,4.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Masculino,95.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Feminino,232.0,Com Cat Registrada
1999-01-01,19 Anos ou menos,Doença do Trabalho-Com Cat,Ignorado,2.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Típico-Com Cat,Masculino,53792.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Típico-Com Cat,Feminino,8138.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Típico-Com Cat,Ignorado,144.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Trajeto-Com Cat,Masculino,5357.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Trajeto-Com Cat,Feminino,1696.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Trajeto-Com Cat,Ignorado,7.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Masculino,850.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Feminino,1384.0,Com Cat Registrada
1999-01-01,20 a 24 Anos,Doença do Trabalho-Com Cat,Ignorado,2.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Típico-Com Cat,Masculino,50410.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Típico-Com Cat,Feminino,8744.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Típico-Com Cat,Ignorado,114.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Trajeto-Com Cat,Masculino,5184.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Trajeto-Com Cat,Feminino,1802.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Trajeto-Com Cat,Ignorado,4.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Masculino,1352.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Feminino,1916.0,Com Cat Registrada
1999-01-01,25 a 29 Anos,Doença do Trabalho-Com Cat,Ignorado,1.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Típico-Com Cat,Masculino,43995.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Típico-Com Cat,Feminino,9037.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Típico-Com Cat,Ignorado,99.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Trajeto-Com Cat,Masculino,4263.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Trajeto-Com Cat,Feminino,1832.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Trajeto-Com Cat,Ignorado,5.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Masculino,1919.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Feminino,2078.0,Com Cat Registrada
1999-01-01,30 a 34 Anos,Doença do Trabalho-Com Cat,Ignorado,3.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Típico-Com Cat,Masculino,36937.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Típico-Com Cat,Feminino,8772.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Típico-Com Cat,Ignorado,66.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Trajeto-Com Cat,Masculino,3430.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Trajeto-Com Cat,Feminino,1646.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Trajeto-Com Cat,Ignorado,4.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Masculino,2208.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Feminino,2105.0,Com Cat Registrada
1999-01-01,35 a 39 Anos,Doença do Trabalho-Com Cat,Ignorado,1.0,Com Cat Registrada
1999-01-01,40 a 44 Anos,Típico-Com Cat,Masculino,29027.0,Com Cat Registrada
1999-01-01,40 a 44 Anos,Típico-Com Cat,Feminino,7467.0,Com Cat Registrada
1999-01-01,40 a 44 Anos,Típico-Com Cat,Ignorado,57.0,Com Cat Registrada
1999-01-01,40 a 44 Anos,Trajeto-Com Cat,Masculino,2618.0,Com Cat Registrada
