ano,parte_atingida,motivo_situacao,qte_acidentes,situacao
2003-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Doença do Trabalho-Com Cat,3918,Com Cat Registrada
2003-01-01,Olho (Inclusive Nervo Ótico e Visão),Típico-Com Cat,12850,Com Cat Registrada
2003-01-01,Olho (Inclusive Nervo Ótico e Visão),Trajeto-Com Cat,301,Com Cat Registrada
2003-01-01,Olho (Inclusive Nervo Ótico e Visão),Doença do Trabalho-Com Cat,52,Com Cat Registrada
2003-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Típico-Com Cat,1086,Com Cat Registrada
2003-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Trajeto-Com Cat,180,Com Cat Registrada
2003-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Doença do Trabalho-Com Cat,23,Com Cat Registrada
2003-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Típico-Com Cat,1287,Com Cat Registrada
2003-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Trajeto-Com Cat,200,Com Cat Registrada
2003-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Doença do Trabalho-Com Cat,173,Com Cat Registrada
2003-01-01,Mandíbula (Inclusive Queixo),Típico-Com Cat,410,Com Cat Registrada
2003-01-01,Mandíbula (Inclusive Queixo),Trajeto-Com Cat,129,Com Cat Registrada
2003-01-01,Mandíbula (Inclusive Queixo),Doença do Trabalho-Com Cat,2,Com Cat Registrada
2003-01-01,"Face, Partes Múltiplas",Típico-Com Cat,4506,Com Cat Registrada
2003-01-01,"Face, Partes Múltiplas",Trajeto-Com Cat,910,Com Cat Registrada
2003-01-01,"Face, Partes Múltiplas",Doença do Trabalho-Com Cat,35,Com Cat Registrada
2003-01-01,"Cabeça, Partes Múltiplas",Típico-Com Cat,3736,Com Cat Registrada
2003-01-01,"Cabeça, Partes Múltiplas",Trajeto-Com Cat,1666,Com Cat Registrada
2003-01-01,"Cabeça, Partes Múltiplas",Doença do Trabalho-Com Cat,69,Com Cat Registrada
2003-01-01,"Cabeça, não Informado",Típico-Com Cat,7703,Com Cat Registrada
2003-01-01,"Cabeça, não Informado",Trajeto-Com Cat,1570,Com Cat Registrada
2003-01-01,"Cabeça, não Informado",Doença do Trabalho-Com Cat,154,Com Cat Registrada
2003-01-01,Braço (Entre o Punho e o Ombro),Típico-Com Cat,11893,Com Cat Registrada
2003-01-01,Braço (Entre o Punho e o Ombro),Trajeto-Com Cat,2761,Com Cat Registrada
2003-01-01,Braço (Entre o Punho e o Ombro),Doença do Trabalho-Com Cat,2973,Com Cat Registrada
2003-01-01,Braço (Acima do Cotovelo),Típico-Com Cat,4893,Com Cat Registrada
2003-01-01,Braço (Acima do Cotovelo),Trajeto-Com Cat,978,Com Cat Registrada
2003-01-01,Braço (Acima do Cotovelo),Doença do Trabalho-Com Cat,463,Com Cat Registrada
2003-01-01,Pescoço,Típico-Com Cat,1150,Com Cat Registrada
2003-01-01,Pescoço,Trajeto-Com Cat,333,Com Cat Registrada
2003-01-01,Pescoço,Doença do Trabalho-Com Cat,50,Com Cat Registrada
2003-01-01,Cotovelo,Típico-Com Cat,2414,Com Cat Registrada
2003-01-01,Cotovelo,Trajeto-Com Cat,583,Com Cat Registrada
2003-01-01,Cotovelo,Doença do Trabalho-Com Cat,448,Com Cat Registrada
2003-01-01,Antebraço (Entre o Punho e o Cotovelo),Típico-Com Cat,13182,Com Cat Registrada
2003-01-01,Antebraço (Entre o Punho e o Cotovelo),Trajeto-Com Cat,2320,Com Cat Registrada
2003-01-01,Antebraço (Entre o Punho e o Cotovelo),Doença do Trabalho-Com Cat,1591,Com Cat Registrada
2003-01-01,Punho,Típico-Com Cat,6076,Com Cat Registrada
2003-01-01,Punho,Trajeto-Com Cat,918,Com Cat Registrada
2003-01-01,Punho,Doença do Trabalho-Com Cat,1835,Com Cat Registrada
2003-01-01,Mão (Exceto Punho ou Dedos),Típico-Com Cat,35149,Com Cat Registrada
2003-01-01,Mão (Exceto Punho ou Dedos),Trajeto-Com Cat,2081,Com Cat Registrada
2003-01-01,Mão (Exceto Punho ou Dedos),Doença do Trabalho-Com Cat,871,Com Cat Registrada
2003-01-01,Dedo,Típico-Com Cat,89428,Com Cat Registrada
2003-01-01,Dedo,Trajeto-Com Cat,2243,Com Cat Registrada
2003-01-01,Dedo,Doença do Trabalho-Com Cat,275,Com Cat Registrada
2003-01-01,"Membros Superiores, Partes Múltiplas",Típico-Com Cat,2746,Com Cat Registrada
2003-01-01,"Membros Superiores, Partes Múltiplas",Trajeto-Com Cat,798,Com Cat Registrada
2003-01-01,"Membros Superiores, Partes Múltiplas",Doença do Trabalho-Com Cat,1542,Com Cat Registrada
2003-01-01,"Membros Superiores, não Informado",Típico-Com Cat,2678,Com Cat Registrada
2003-01-01,"Membros Superiores, não Informado",Trajeto-Com Cat,561,Com Cat Registrada
2003-01-01,"Membros Superiores, não Informado",Doença do Trabalho-Com Cat,1851,Com Cat Registrada
2003-01-01,Ombro,Típico-Com Cat,7241,Com Cat Registrada
2003-01-01,Ombro,Trajeto-Com Cat,2321,Com Cat Registrada
2003-01-01,Ombro,Doença do Trabalho-Com Cat,2927,Com Cat Registrada
2003-01-01,Tórax (Inclusive Órgãos Internos),Típico-Com Cat,3523,Com Cat Registrada
2003-01-01,Tórax (Inclusive Órgãos Internos),Trajeto-Com Cat,824,Com Cat Registrada
2003-01-01,Tórax (Inclusive Órgãos Internos),Doença do Trabalho-Com Cat,68,Com Cat Registrada
2003-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Típico-Com Cat,18280,Com Cat Registrada
2003-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Trajeto-Com Cat,1729,Com Cat Registrada
2003-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Doença do Trabalho-Com Cat,2309,Com Cat Registrada
2003-01-01,Abdome (Inclusive Órgãos Internos),Típico-Com Cat,2422,Com Cat Registrada
2003-01-01,Abdome (Inclusive Órgãos Internos),Trajeto-Com Cat,611,Com Cat Registrada
2003-01-01,Abdome (Inclusive Órgãos Internos),Doença do Trabalho-Com Cat,172,Com Cat Registrada
2003-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Típico-Com Cat,1475,Com Cat Registrada
2003-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Trajeto-Com Cat,343,Com Cat Registrada
2003-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Doença do Trabalho-Com Cat,32,Com Cat Registrada
2003-01-01,"Tronco, Parte Múltiplas",Típico-Com Cat,1542,Com Cat Registrada
2003-01-01,"Tronco, Parte Múltiplas",Trajeto-Com Cat,505,Com Cat Registrada
2003-01-01,"Tronco, Parte Múltiplas",Doença do Trabalho-Com Cat,69,Com Cat Registrada
2003-01-01,"Tronco, não Informado",Típico-Com Cat,1053,Com Cat Registrada
2003-01-01,"Tronco, não Informado",Trajeto-Com Cat,208,Com Cat Registrada
2003-01-01,"Tronco, não Informado",Doença do Trabalho-Com Cat,33,Com Cat Registrada
2003-01-01,Perna (Entre O Tornozelo e a Pélvis),Típico-Com Cat,8094,Com Cat Registrada
2003-01-01,Perna (Entre O Tornozelo e a Pélvis),Trajeto-Com Cat,2380,Com Cat Registrada
2003-01-01,Perna (Entre O Tornozelo e a Pélvis),Doença do Trabalho-Com Cat,74,Com Cat Registrada
2003-01-01,Coxa,Típico-Com Cat,1831,Com Cat Registrada
2003-01-01,Coxa,Trajeto-Com Cat,312,Com Cat Registrada
2003-01-01,Coxa,Doença do Trabalho-Com Cat,20,Com Cat Registrada
2003-01-01,Joelho,Típico-Com Cat,14800,Com Cat Registrada
2003-01-01,Joelho,Trajeto-Com Cat,3968,Com Cat Registrada
2003-01-01,Joelho,Doença do Trabalho-Com Cat,190,Com Cat Registrada
2003-01-01,Perna (Entre o Tornozelo e o Joelho),Típico-Com Cat,12492,Com Cat Registrada
2003-01-01,Perna (Entre o Tornozelo e o Joelho),Trajeto-Com Cat,3869,Com Cat Registrada
2003-01-01,Perna (Entre o Tornozelo e o Joelho),Doença do Trabalho-Com Cat,85,Com Cat Registrada
2003-01-01,Articulação do Tornozelo,Típico-Com Cat,8565,Com Cat Registrada
2003-01-01,Articulação do Tornozelo,Trajeto-Com Cat,3197,Com Cat Registrada
2003-01-01,Articulação do Tornozelo,Doença do Trabalho-Com Cat,43,Com Cat Registrada
2003-01-01,Pé (Exceto Artelhos),Típico-Com Cat,25687,Com Cat Registrada
2003-01-01,Pé (Exceto Artelhos),Trajeto-Com Cat,4617,Com Cat Registrada
2003-01-01,Pé (Exceto Artelhos),Doença do Trabalho-Com Cat,120,Com Cat Registrada
2003-01-01,Artelho,Típico-Com Cat,1521,Com Cat Registrada
2003-01-01,Artelho,Trajeto-Com Cat,128,Com Cat Registrada
2003-01-01,Artelho,Doença do Trabalho-Com Cat,12,Com Cat Registrada
2003-01-01,"Membros Inferiores, Partes Múltiplas",Típico-Com Cat,1992,Com Cat Registrada
2003-01-01,"Membros Inferiores, Partes Múltiplas",Trajeto-Com Cat,810,Com Cat Registrada
2003-01-01,"Membros Inferiores, Partes Múltiplas",Doença do Trabalho-Com Cat,83,Com Cat Registrada
2003-01-01,"Membros Inferiores, não Informado",Típico-Com Cat,1772,Com Cat Registrada
2003-01-01,"Membros Inferiores, não Informado",Trajeto-Com Cat,614,Com Cat Registrada
2003-01-01,"Membros Inferiores, não Informado",Doença do Trabalho-Com Cat,65,Com Cat Registrada
2003-01-01,Partes Múltiplas,Típico-Com Cat,5178,Com Cat Registrada
2003-01-01,Partes Múltiplas,Trajeto-Com Cat,3729,Com Cat Registrada
2003-01-01,Partes Múltiplas,Doença do Trabalho-Com Cat,353,Com Cat Registrada
2003-01-01,Sistemas e Aparelhos,Típico-Com Cat,320,Com Cat Registrada
2003-01-01,Sistemas e Aparelhos,Trajeto-Com Cat,87,Com Cat Registrada
2003-01-01,Sistemas e Aparelhos,Doença do Trabalho-Com Cat,84,Com Cat Registrada
2003-01-01,Aparelho Circulatório,Típico-Com Cat,80,Com Cat Registrada
2003-01-01,Aparelho Circulatório,Trajeto-Com Cat,10,Com Cat Registrada
2003-01-01,Aparelho Circulatório,Doença do Trabalho-Com Cat,80,Com Cat Registrada
2003-01-01,Aparelho Respiratório,Típico-Com Cat,588,Com Cat Registrada
2003-01-01,Aparelho Respiratório,Trajeto-Com Cat,30,Com Cat Registrada
2003-01-01,Aparelho Respiratório,Doença do Trabalho-Com Cat,229,Com Cat Registrada
2003-01-01,Sistema Nervoso,Típico-Com Cat,1515,Com Cat Registrada
2003-01-01,Sistema Nervoso,Trajeto-Com Cat,67,Com Cat Registrada
2003-01-01,Sistema Nervoso,Doença do Trabalho-Com Cat,236,Com Cat Registrada
2003-01-01,Aparelho Digestivo,Típico-Com Cat,87,Com Cat Registrada
2003-01-01,Aparelho Digestivo,Trajeto-Com Cat,15,Com Cat Registrada
2003-01-01,Aparelho Digestivo,Doença do Trabalho-Com Cat,26,Com Cat Registrada
2003-01-01,Aparelho Gênito-Urinário,Típico-Com Cat,228,Com Cat Registrada
2003-01-01,Aparelho Gênito-Urinário,Trajeto-Com Cat,54,Com Cat Registrada
2003-01-01,Aparelho Gênito-Urinário,Doença do Trabalho-Com Cat,20,Com Cat Registrada
2003-01-01,Sistema Músculo-Esquelético,Típico-Com Cat,231,Com Cat Registrada
2003-01-01,Sistema Músculo-Esquelético,Trajeto-Com Cat,34,Com Cat Registrada
2003-01-01,Sistema Músculo-Esquelético,Doença do Trabalho-Com Cat,33,Com Cat Registrada
2003-01-01,"Sistemas e Aparelhos, não Informado",Típico-Com Cat,251,Com Cat Registrada
2003-01-01,"Sistemas e Aparelhos, não Informado",Trajeto-Com Cat,24,Com Cat Registrada
2003-01-01,"Sistemas e Aparelhos, não Informado",Doença do Trabalho-Com Cat,91,Com Cat Registrada
2003-01-01,Parte do Corpo não Informada,Típico-Com Cat,1141,Com Cat Registrada
2003-01-01,Parte do Corpo não Informada,Trajeto-Com Cat,211,Com Cat Registrada
2003-01-01,Parte do Corpo não Informada,Doença do Trabalho-Com Cat,69,Com Cat Registrada
2003-01-01,Ignorada,Típico-Com Cat,2,Com Cat Registrada
2003-01-01,Ignorada,Trajeto-Com Cat,0,Com Cat Registrada
2003-01-01,Ignorada,Doença do Trabalho-Com Cat,0,Com Cat Registrada
2004-01-01,Crânio (Inclusive Encéfalo),Típico-Com Cat,851,Com Cat Registrada
2004-01-01,Crânio (Inclusive Encéfalo),Trajeto-Com Cat,490,Com Cat Registrada
2004-01-01,Crânio (Inclusive Encéfalo),Doença do Trabalho-Com Cat,31,Com Cat Registrada
2004-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Típico-Com Cat,1466,Com Cat Registrada
2004-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Trajeto-Com Cat,49,Com Cat Registrada
2004-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Doença do Trabalho-Com Cat,3437,Com Cat Registrada
2004-01-01,Olho (Inclusive Nervo Ótico e Visão),Típico-Com Cat,15680,Com Cat Registrada
2004-01-01,Olho (Inclusive Nervo Ótico e Visão),Trajeto-Com Cat,338,Com Cat Registrada
2004-01-01,Olho (Inclusive Nervo Ótico e Visão),Doença do Trabalho-Com Cat,91,Com Cat Registrada
2004-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Típico-Com Cat,1283,Com Cat Registrada
2004-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Trajeto-Com Cat,235,Com Cat Registrada
2004-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Doença do Trabalho-Com Cat,25,Com Cat Registrada
2004-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Típico-Com Cat,1558,Com Cat Registrada
2004-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Trajeto-Com Cat,253,Com Cat Registrada
2004-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Doença do Trabalho-Com Cat,304,Com Cat Registrada
2004-01-01,Mandíbula (Inclusive Queixo),Típico-Com Cat,524,Com Cat Registrada
2004-01-01,Mandíbula (Inclusive Queixo),Trajeto-Com Cat,159,Com Cat Registrada
2004-01-01,Mandíbula (Inclusive Queixo),Doença do Trabalho-Com Cat,2,Com Cat Registrada
2004-01-01,"Face, Partes Múltiplas",Típico-Com Cat,5328,Com Cat Registrada
